"description","sequence","time"
"gets light object 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G1 A0 B0 P0 A0","5.04"
"gets light component 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G1 A0 B0 P0 A0","5.04"
"gets light object 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G1 A0 B0 P0 A0","5.04"
"gets heavy components 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets heavy components 1 or 2 steps from pallet 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets heavy components 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets heavy components 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets bulky components 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets bulky components 1 or 2 steps from pallet 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets bulky components 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets bulky components 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets obstructed components 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets obstructed components 1 or 2 steps from pallet 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets obstructed components 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets obstructed components 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets blind components 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets blind components 1 or 2 steps from pallet 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets blind components 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets blind components 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets heavy object 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets heavy object 1 or 2 steps from pallet 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets heavy object 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets heavy object 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets bulky object 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets bulky object 1 or 2 steps from pallet 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets bulky object 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets bulky object 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets obstructed object 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets obstructed object 1 or 2 steps from pallet 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets obstructed object 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets obstructed object 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets blind object 1 or 2 steps from the box 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets blind object 1 or 2 steps from pallet 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets blind object 1 or 2 steps from WIP 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets blind object 1 or 2 steps from the nest 100% of the times with adjustment","A3 B10 G3 A0 B0 P0 A0","5.76"
"gets light components 3 or 4 steps from the box","A6 B0 G1 A0 B0 P0 A0","2.52"
"gets light components 3 or 4 steps from palet","A6 B0 G1 A0 B0 P0 A0","2.52"
"gets light components 3 or 4 steps from WIP","A6 B0 G1 A0 B0 P0 A0","2.52"
"gets light object 3 or 4 steps from palet","A6 B0 G1 A0 B0 P0 A0","2.52"
"gets light object 3 or 4 steps from the box","A6 B0 G1 A0 B0 P0 A0","2.52"
"gets light object 3 or 4 steps from WIP","A6 B0 G1 A0 B0 P0 A0","2.52"
"gets light component 3 or 4 steps from the nest","A6 B0 G1 A0 B0 P0 A0","2.52"
"gets light object 3 or 4 steps from the nest","A6 B0 G1 A0 B0 P0 A0","2.52"
"gets heavy components 3 or 4 steps from the box","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets heavy components 3 or 4 steps from pallet","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets heavy components 3 or 4 steps from WIP","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets heavy components 3 or 4 steps from the nest","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets bulky components 3 or 4 steps from the box","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets bulky components 3 or 4 steps from pallet","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets bulky components 3 or 4 steps from WIP","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets bulky components 3 or 4 steps from the nest","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets obstructed components 3 or 4 steps from the box","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets obstructed components 3 or 4 steps from pallet","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets obstructed components 3 or 4 steps from WIP","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets obstructed components 3 or 4 steps from the nest","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets blind components 3 or 4 steps from the box","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets blind components 3 or 4 steps from pallet","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets blind components 3 or 4 steps from WIP","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets blind components 3 or 4 steps from the nest","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets heavy object 3 or 4 steps from the box","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets heavy object 3 or 4 steps from pallet","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets heavy object 3 or 4 steps from WIP","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets heavy object 3 or 4 steps from the nest","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets bulky object 3 or 4 steps from the box","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets bulky object 3 or 4 steps from pallet","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets bulky object 3 or 4 steps from WIP","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets bulky object 3 or 4 steps from the nest","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets obstructed object 3 or 4 steps from the box","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets obstructed object 3 or 4 steps from pallet","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets obstructed object 3 or 4 steps from WIP","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets obstructed object 3 or 4 steps from the nest","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets blind object 3 or 4 steps from the box","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets blind object 3 or 4 steps from pallet","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets blind object 3 or 4 steps from WIP","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets blind object 3 or 4 steps from the nest","A6 B0 G3 A0 B0 P0 A0","3.2399999999999998"
"gets light components 3 or 4 steps from the box 50% of the time","A6 B3 G1 A0 B0 P0 A0","3.5999999999999996"
"gets light components 3 or 4 steps from palet 50% of the time","A6 B3 G1 A0 B0 P0 A0","3.5999999999999996"
"gets light components 3 or 4 steps from WIP 50% of the time","A6 B3 G1 A0 B0 P0 A0","3.5999999999999996"
"gets light object 3 or 4 steps from palet 50% of the time","A6 B3 G1 A0 B0 P0 A0","3.5999999999999996"
"gets light object 3 or 4 steps from the box 50% of the time","A6 B3 G1 A0 B0 P0 A0","3.5999999999999996"
"gets light object 3 or 4 steps from WIP 50% of the time","A6 B3 G1 A0 B0 P0 A0","3.5999999999999996"
"gets light component 3 or 4 steps from the nest 50% of the time","A6 B3 G1 A0 B0 P0 A0","3.5999999999999996"
"gets light object 3 or 4 steps from the nest 50% of the time","A6 B3 G1 A0 B0 P0 A0","3.5999999999999996"
"gets heavy components 3 or 4 steps from the box 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets heavy components 3 or 4 steps from pallet 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets heavy components 3 or 4 steps from WIP 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets heavy components 3 or 4 steps from the nest 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets bulky components 3 or 4 steps from the box 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets bulky components 3 or 4 steps from pallet 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets bulky components 3 or 4 steps from WIP 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets bulky components 3 or 4 steps from the nest 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets obstructed components 3 or 4 steps from the box 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets obstructed components 3 or 4 steps from pallet 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets obstructed components 3 or 4 steps from WIP 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets obstructed components 3 or 4 steps from the nest 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets blind components 3 or 4 steps from the box 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets blind components 3 or 4 steps from pallet 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets blind components 3 or 4 steps from WIP 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets blind components 3 or 4 steps from the nest 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets heavy object 3 or 4 steps from the box 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets heavy object 3 or 4 steps from pallet 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets heavy object 3 or 4 steps from WIP 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets heavy object 3 or 4 steps from the nest 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets bulky object 3 or 4 steps from the box 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets bulky object 3 or 4 steps from pallet 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets bulky object 3 or 4 steps from WIP 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets bulky object 3 or 4 steps from the nest 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets obstructed object 3 or 4 steps from the box 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets obstructed object 3 or 4 steps from pallet 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets obstructed object 3 or 4 steps from WIP 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets obstructed object 3 or 4 steps from the nest 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets blind object 3 or 4 steps from the box 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets blind object 3 or 4 steps from pallet 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets blind object 3 or 4 steps from WIP 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets blind object 3 or 4 steps from the nest 50% of the time","A6 B3 G3 A0 B0 P0 A0","4.319999999999999"
"gets light components 3 or 4 steps from the box 100% of the times","A6 B6 G1 A0 B0 P0 A0","4.68"
"gets light components 3 or 4 steps from palet 100% of the times","A6 B6 G1 A0 B0 P0 A0","4.68"
"gets light components 3 or 4 steps from WIP 100% of the times","A6 B6 G1 A0 B0 P0 A0","4.68"
"gets light object 3 or 4 steps from palet 100% of the times","A6 B6 G1 A0 B0 P0 A0","4.68"
"gets light object 3 or 4 steps from the box 100% of the times","A6 B6 G1 A0 B0 P0 A0","4.68"
"gets light object 3 or 4 steps from WIP 100% of the times","A6 B6 G1 A0 B0 P0 A0","4.68"
"gets light component 3 or 4 steps from the nest 100% of the times","A6 B6 G1 A0 B0 P0 A0","4.68"
"gets light object 3 or 4 steps from the nest 100% of the times","A6 B6 G1 A0 B0 P0 A0","4.68"
"gets heavy components 3 or 4 steps from the box 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets heavy components 3 or 4 steps from pallet 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets heavy components 3 or 4 steps from WIP 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets heavy components 3 or 4 steps from the nest 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets bulky components 3 or 4 steps from the box 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets bulky components 3 or 4 steps from pallet 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets bulky components 3 or 4 steps from WIP 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets bulky components 3 or 4 steps from the nest 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets obstructed components 3 or 4 steps from the box 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets obstructed components 3 or 4 steps from pallet 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets obstructed components 3 or 4 steps from WIP 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets obstructed components 3 or 4 steps from the nest 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets blind components 3 or 4 steps from the box 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets blind components 3 or 4 steps from pallet 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets blind components 3 or 4 steps from WIP 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets blind components 3 or 4 steps from the nest 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets heavy object 3 or 4 steps from the box 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets heavy object 3 or 4 steps from pallet 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets heavy object 3 or 4 steps from WIP 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets heavy object 3 or 4 steps from the nest 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets bulky object 3 or 4 steps from the box 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets bulky object 3 or 4 steps from pallet 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets bulky object 3 or 4 steps from WIP 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets bulky object 3 or 4 steps from the nest 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets obstructed object 3 or 4 steps from the box 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets obstructed object 3 or 4 steps from pallet 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets obstructed object 3 or 4 steps from WIP 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets obstructed object 3 or 4 steps from the nest 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets blind object 3 or 4 steps from the box 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets blind object 3 or 4 steps from pallet 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets blind object 3 or 4 steps from WIP 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets blind object 3 or 4 steps from the nest 100% of the times","A6 B6 G3 A0 B0 P0 A0","5.3999999999999995"
"gets light components 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G1 A0 B0 P0 A0","6.119999999999999"
"gets light components 3 or 4 steps from palet 100% of the times with adjustment","A6 B10 G1 A0 B0 P0 A0","6.119999999999999"
"gets light components 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G1 A0 B0 P0 A0","6.119999999999999"
"gets light object 3 or 4 steps from palet 100% of the times with adjustment","A6 B10 G1 A0 B0 P0 A0","6.119999999999999"
"gets light object 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G1 A0 B0 P0 A0","6.119999999999999"
"gets light object 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G1 A0 B0 P0 A0","6.119999999999999"
"gets light component 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G1 A0 B0 P0 A0","6.119999999999999"
"gets light object 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G1 A0 B0 P0 A0","6.119999999999999"
"gets heavy components 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets heavy components 3 or 4 steps from pallet 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets heavy components 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets heavy components 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets bulky components 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets bulky components 3 or 4 steps from pallet 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets bulky components 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets bulky components 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets obstructed components 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets obstructed components 3 or 4 steps from pallet 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets obstructed components 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets obstructed components 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets blind components 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets blind components 3 or 4 steps from pallet 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets blind components 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets blind components 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets heavy object 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets heavy object 3 or 4 steps from pallet 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets heavy object 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets heavy object 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets bulky object 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets bulky object 3 or 4 steps from pallet 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets bulky object 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets bulky object 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets obstructed object 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets obstructed object 3 or 4 steps from pallet 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets obstructed object 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets obstructed object 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets blind object 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets blind object 3 or 4 steps from pallet 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets blind object 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets blind object 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0","6.84"
"gets light components 5 or 7 steps from the box","A10 B0 G1 A0 B0 P0 A0","3.9599999999999995"
"gets light components 5 or 7 steps from palet","A10 B0 G1 A0 B0 P0 A0","3.9599999999999995"
"gets light components 5 or 7 steps from WIP","A10 B0 G1 A0 B0 P0 A0","3.9599999999999995"
"gets light object 5 or 7 steps from palet","A10 B0 G1 A0 B0 P0 A0","3.9599999999999995"
"gets light object 5 or 7 steps from the box","A10 B0 G1 A0 B0 P0 A0","3.9599999999999995"
"gets light object 5 or 7 steps from WIP","A10 B0 G1 A0 B0 P0 A0","3.9599999999999995"
"gets light component 5 or 7 steps from the nest","A10 B0 G1 A0 B0 P0 A0","3.9599999999999995"
"gets light object 5 or 7 steps from the nest","A10 B0 G1 A0 B0 P0 A0","3.9599999999999995"
"gets heavy components 5 or 7 steps from the box","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets heavy components 5 or 7 steps from pallet","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets heavy components 5 or 7 steps from WIP","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets heavy components 5 or 7 steps from the nest","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets bulky components 5 or 7 steps from the box","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets bulky components 5 or 7 steps from pallet","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets bulky components 5 or 7 steps from WIP","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets bulky components 5 or 7 steps from the nest","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets obstructed components 5 or 7 steps from the box","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets obstructed components 5 or 7 steps from pallet","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets obstructed components 5 or 7 steps from WIP","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets obstructed components 5 or 7 steps from the nest","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets blind components 5 or 7 steps from the box","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets blind components 5 or 7 steps from pallet","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets blind components 5 or 7 steps from WIP","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets blind components 5 or 7 steps from the nest","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets heavy object 5 or 7 steps from the box","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets heavy object 5 or 7 steps from pallet","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets heavy object 5 or 7 steps from WIP","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets heavy object 5 or 7 steps from the nest","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets bulky object 5 or 7 steps from the box","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets bulky object 5 or 7 steps from pallet","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets bulky object 5 or 7 steps from WIP","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets bulky object 5 or 7 steps from the nest","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets obstructed object 5 or 7 steps from the box","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets obstructed object 5 or 7 steps from pallet","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets obstructed object 5 or 7 steps from WIP","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets obstructed object 5 or 7 steps from the nest","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets blind object 5 or 7 steps from the box","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets blind object 5 or 7 steps from pallet","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets blind object 5 or 7 steps from WIP","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets blind object 5 or 7 steps from the nest","A10 B0 G3 A0 B0 P0 A0","4.68"
"gets light components 5 or 7 steps from the box 50% of the time","A10 B3 G1 A0 B0 P0 A0","5.04"
"gets light components 5 or 7 steps from palet 50% of the time","A10 B3 G1 A0 B0 P0 A0","5.04"
"gets light components 5 or 7 steps from WIP 50% of the time","A10 B3 G1 A0 B0 P0 A0","5.04"
"gets light object 5 or 7 steps from palet 50% of the time","A10 B3 G1 A0 B0 P0 A0","5.04"
"gets light object 5 or 7 steps from the box 50% of the time","A10 B3 G1 A0 B0 P0 A0","5.04"
"gets light object 5 or 7 steps from WIP 50% of the time","A10 B3 G1 A0 B0 P0 A0","5.04"
"gets light component 5 or 7 steps from the nest 50% of the time","A10 B3 G1 A0 B0 P0 A0","5.04"
"gets light object 5 or 7 steps from the nest 50% of the time","A10 B3 G1 A0 B0 P0 A0","5.04"
"gets heavy components 5 or 7 steps from the box 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets heavy components 5 or 7 steps from pallet 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets heavy components 5 or 7 steps from WIP 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets heavy components 5 or 7 steps from the nest 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets bulky components 5 or 7 steps from the box 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets bulky components 5 or 7 steps from pallet 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets bulky components 5 or 7 steps from WIP 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets bulky components 5 or 7 steps from the nest 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets obstructed components 5 or 7 steps from the box 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets obstructed components 5 or 7 steps from pallet 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets obstructed components 5 or 7 steps from WIP 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets obstructed components 5 or 7 steps from the nest 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets blind components 5 or 7 steps from the box 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets blind components 5 or 7 steps from pallet 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets blind components 5 or 7 steps from WIP 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
