"description","sequence"
"gets light object 3 or 4 steps from palet","A6 B0 G1 A0 B0 P0 A0"
"gets light object 3 or 4 steps from the box","A6 B0 G1 A0 B0 P0 A0"
"gets light object 3 or 4 steps from WIP","A6 B0 G1 A0 B0 P0 A0"
"gets light component 3 or 4 steps from the nest","A6 B0 G1 A0 B0 P0 A0"
"gets light object 3 or 4 steps from the nest","A6 B0 G1 A0 B0 P0 A0"
"gets heavy components 3 or 4 steps from the box","A6 B0 G3 A0 B0 P0 A0"
"gets heavy components 3 or 4 steps from pallet","A6 B0 G3 A0 B0 P0 A0"
"gets heavy components 3 or 4 steps from WIP","A6 B0 G3 A0 B0 P0 A0"
"gets heavy components 3 or 4 steps from the nest","A6 B0 G3 A0 B0 P0 A0"
"gets bulky components 3 or 4 steps from the box","A6 B0 G3 A0 B0 P0 A0"
"gets bulky components 3 or 4 steps from pallet","A6 B0 G3 A0 B0 P0 A0"
"gets bulky components 3 or 4 steps from WIP","A6 B0 G3 A0 B0 P0 A0"
"gets bulky components 3 or 4 steps from the nest","A6 B0 G3 A0 B0 P0 A0"
"gets obstructed components 3 or 4 steps from the box","A6 B0 G3 A0 B0 P0 A0"
"gets obstructed components 3 or 4 steps from pallet","A6 B0 G3 A0 B0 P0 A0"
"gets obstructed components 3 or 4 steps from WIP","A6 B0 G3 A0 B0 P0 A0"
"gets obstructed components 3 or 4 steps from the nest","A6 B0 G3 A0 B0 P0 A0"
"gets blind components 3 or 4 steps from the box","A6 B0 G3 A0 B0 P0 A0"
"gets blind components 3 or 4 steps from pallet","A6 B0 G3 A0 B0 P0 A0"
"gets blind components 3 or 4 steps from WIP","A6 B0 G3 A0 B0 P0 A0"
"gets blind components 3 or 4 steps from the nest","A6 B0 G3 A0 B0 P0 A0"
"gets heavy object 3 or 4 steps from the box","A6 B0 G3 A0 B0 P0 A0"
"gets heavy object 3 or 4 steps from pallet","A6 B0 G3 A0 B0 P0 A0"
"gets heavy object 3 or 4 steps from WIP","A6 B0 G3 A0 B0 P0 A0"
"gets heavy object 3 or 4 steps from the nest","A6 B0 G3 A0 B0 P0 A0"
"gets bulky object 3 or 4 steps from the box","A6 B0 G3 A0 B0 P0 A0"
"gets bulky object 3 or 4 steps from pallet","A6 B0 G3 A0 B0 P0 A0"
"gets bulky object 3 or 4 steps from WIP","A6 B0 G3 A0 B0 P0 A0"
"gets bulky object 3 or 4 steps from the nest","A6 B0 G3 A0 B0 P0 A0"
"gets obstructed object 3 or 4 steps from the box","A6 B0 G3 A0 B0 P0 A0"
"gets obstructed object 3 or 4 steps from pallet","A6 B0 G3 A0 B0 P0 A0"
"gets obstructed object 3 or 4 steps from WIP","A6 B0 G3 A0 B0 P0 A0"
"gets obstructed object 3 or 4 steps from the nest","A6 B0 G3 A0 B0 P0 A0"
"gets blind object 3 or 4 steps from the box","A6 B0 G3 A0 B0 P0 A0"
"gets blind object 3 or 4 steps from pallet","A6 B0 G3 A0 B0 P0 A0"
"gets blind object 3 or 4 steps from WIP","A6 B0 G3 A0 B0 P0 A0"
"gets blind object 3 or 4 steps from the nest","A6 B0 G3 A0 B0 P0 A0"
"gets light components 3 or 4 steps from the box 50% of the time","A6 B3 G1 A0 B0 P0 A0"
"gets light components 3 or 4 steps from palet 50% of the time","A6 B3 G1 A0 B0 P0 A0"
"gets light components 3 or 4 steps from WIP 50% of the time","A6 B3 G1 A0 B0 P0 A0"
"gets light object 3 or 4 steps from palet 50% of the time","A6 B3 G1 A0 B0 P0 A0"
"gets light object 3 or 4 steps from the box 50% of the time","A6 B3 G1 A0 B0 P0 A0"
"gets light object 3 or 4 steps from WIP 50% of the time","A6 B3 G1 A0 B0 P0 A0"
"gets light component 3 or 4 steps from the nest 50% of the time","A6 B3 G1 A0 B0 P0 A0"
"gets light object 3 or 4 steps from the nest 50% of the time","A6 B3 G1 A0 B0 P0 A0"
"gets heavy components 3 or 4 steps from the box 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets heavy components 3 or 4 steps from pallet 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets heavy components 3 or 4 steps from WIP 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets heavy components 3 or 4 steps from the nest 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets bulky components 3 or 4 steps from the box 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets bulky components 3 or 4 steps from pallet 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets bulky components 3 or 4 steps from WIP 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets bulky components 3 or 4 steps from the nest 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets obstructed components 3 or 4 steps from the box 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets obstructed components 3 or 4 steps from pallet 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets obstructed components 3 or 4 steps from WIP 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets obstructed components 3 or 4 steps from the nest 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets blind components 3 or 4 steps from the box 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets blind components 3 or 4 steps from pallet 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets blind components 3 or 4 steps from WIP 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets blind components 3 or 4 steps from the nest 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets heavy object 3 or 4 steps from the box 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets heavy object 3 or 4 steps from pallet 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets heavy object 3 or 4 steps from WIP 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets heavy object 3 or 4 steps from the nest 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets bulky object 3 or 4 steps from the box 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets bulky object 3 or 4 steps from pallet 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets bulky object 3 or 4 steps from WIP 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets bulky object 3 or 4 steps from the nest 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets obstructed object 3 or 4 steps from the box 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets obstructed object 3 or 4 steps from pallet 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets obstructed object 3 or 4 steps from WIP 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets obstructed object 3 or 4 steps from the nest 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets blind object 3 or 4 steps from the box 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets blind object 3 or 4 steps from pallet 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets blind object 3 or 4 steps from WIP 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets blind object 3 or 4 steps from the nest 50% of the time","A6 B3 G3 A0 B0 P0 A0"
"gets light components 3 or 4 steps from the box 100% of the times","A6 B6 G1 A0 B0 P0 A0"
"gets light components 3 or 4 steps from palet 100% of the times","A6 B6 G1 A0 B0 P0 A0"
"gets light components 3 or 4 steps from WIP 100% of the times","A6 B6 G1 A0 B0 P0 A0"
"gets light object 3 or 4 steps from palet 100% of the times","A6 B6 G1 A0 B0 P0 A0"
"gets light object 3 or 4 steps from the box 100% of the times","A6 B6 G1 A0 B0 P0 A0"
"gets light object 3 or 4 steps from WIP 100% of the times","A6 B6 G1 A0 B0 P0 A0"
"gets light component 3 or 4 steps from the nest 100% of the times","A6 B6 G1 A0 B0 P0 A0"
"gets light object 3 or 4 steps from the nest 100% of the times","A6 B6 G1 A0 B0 P0 A0"
"gets heavy components 3 or 4 steps from the box 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets heavy components 3 or 4 steps from pallet 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets heavy components 3 or 4 steps from WIP 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets heavy components 3 or 4 steps from the nest 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets bulky components 3 or 4 steps from the box 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets bulky components 3 or 4 steps from pallet 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets bulky components 3 or 4 steps from WIP 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets bulky components 3 or 4 steps from the nest 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets obstructed components 3 or 4 steps from the box 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets obstructed components 3 or 4 steps from pallet 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets obstructed components 3 or 4 steps from WIP 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets obstructed components 3 or 4 steps from the nest 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets blind components 3 or 4 steps from the box 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets blind components 3 or 4 steps from pallet 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets blind components 3 or 4 steps from WIP 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets blind components 3 or 4 steps from the nest 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets heavy object 3 or 4 steps from the box 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets heavy object 3 or 4 steps from pallet 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets heavy object 3 or 4 steps from WIP 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets heavy object 3 or 4 steps from the nest 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets bulky object 3 or 4 steps from the box 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets bulky object 3 or 4 steps from pallet 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets bulky object 3 or 4 steps from WIP 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets bulky object 3 or 4 steps from the nest 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets obstructed object 3 or 4 steps from the box 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets obstructed object 3 or 4 steps from pallet 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets obstructed object 3 or 4 steps from WIP 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets obstructed object 3 or 4 steps from the nest 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets blind object 3 or 4 steps from the box 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets blind object 3 or 4 steps from pallet 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets blind object 3 or 4 steps from WIP 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets blind object 3 or 4 steps from the nest 100% of the times","A6 B6 G3 A0 B0 P0 A0"
"gets light components 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G1 A0 B0 P0 A0"
"gets light components 3 or 4 steps from palet 100% of the times with adjustment","A6 B10 G1 A0 B0 P0 A0"
"gets light components 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G1 A0 B0 P0 A0"
"gets light object 3 or 4 steps from palet 100% of the times with adjustment","A6 B10 G1 A0 B0 P0 A0"
"gets light object 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G1 A0 B0 P0 A0"
"gets light object 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G1 A0 B0 P0 A0"
"gets light component 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G1 A0 B0 P0 A0"
"gets light object 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G1 A0 B0 P0 A0"
"gets heavy components 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets heavy components 3 or 4 steps from pallet 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets heavy components 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets heavy components 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets bulky components 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets bulky components 3 or 4 steps from pallet 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets bulky components 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets bulky components 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets obstructed components 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets obstructed components 3 or 4 steps from pallet 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets obstructed components 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets obstructed components 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets blind components 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets blind components 3 or 4 steps from pallet 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets blind components 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets blind components 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets heavy object 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets heavy object 3 or 4 steps from pallet 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets heavy object 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets heavy object 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets bulky object 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets bulky object 3 or 4 steps from pallet 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets bulky object 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets bulky object 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets obstructed object 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets obstructed object 3 or 4 steps from pallet 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets obstructed object 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets obstructed object 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets blind object 3 or 4 steps from the box 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets blind object 3 or 4 steps from pallet 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets blind object 3 or 4 steps from WIP 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets blind object 3 or 4 steps from the nest 100% of the times with adjustment","A6 B10 G3 A0 B0 P0 A0"
"gets light components 5 or 7 steps from the box","A10 B0 G1 A0 B0 P0 A0"
"gets light components 5 or 7 steps from palet","A10 B0 G1 A0 B0 P0 A0"
"gets light components 5 or 7 steps from WIP","A10 B0 G1 A0 B0 P0 A0"
"gets light object 5 or 7 steps from palet","A10 B0 G1 A0 B0 P0 A0"
"gets light object 5 or 7 steps from the box","A10 B0 G1 A0 B0 P0 A0"
"gets light object 5 or 7 steps from WIP","A10 B0 G1 A0 B0 P0 A0"
"gets light component 5 or 7 steps from the nest","A10 B0 G1 A0 B0 P0 A0"
"gets light object 5 or 7 steps from the nest","A10 B0 G1 A0 B0 P0 A0"
"gets heavy components 5 or 7 steps from the box","A10 B0 G3 A0 B0 P0 A0"
"gets heavy components 5 or 7 steps from pallet","A10 B0 G3 A0 B0 P0 A0"
"gets heavy components 5 or 7 steps from WIP","A10 B0 G3 A0 B0 P0 A0"
"gets heavy components 5 or 7 steps from the nest","A10 B0 G3 A0 B0 P0 A0"
"gets bulky components 5 or 7 steps from the box","A10 B0 G3 A0 B0 P0 A0"
"gets bulky components 5 or 7 steps from pallet","A10 B0 G3 A0 B0 P0 A0"
"gets bulky components 5 or 7 steps from WIP","A10 B0 G3 A0 B0 P0 A0"
"gets bulky components 5 or 7 steps from the nest","A10 B0 G3 A0 B0 P0 A0"
"gets obstructed components 5 or 7 steps from the box","A10 B0 G3 A0 B0 P0 A0"
"gets obstructed components 5 or 7 steps from pallet","A10 B0 G3 A0 B0 P0 A0"
"gets obstructed components 5 or 7 steps from WIP","A10 B0 G3 A0 B0 P0 A0"
"gets obstructed components 5 or 7 steps from the nest","A10 B0 G3 A0 B0 P0 A0"
"gets blind components 5 or 7 steps from the box","A10 B0 G3 A0 B0 P0 A0"
"gets blind components 5 or 7 steps from pallet","A10 B0 G3 A0 B0 P0 A0"
"gets blind components 5 or 7 steps from WIP","A10 B0 G3 A0 B0 P0 A0"
"gets blind components 5 or 7 steps from the nest","A10 B0 G3 A0 B0 P0 A0"
"gets heavy object 5 or 7 steps from the box","A10 B0 G3 A0 B0 P0 A0"
"gets heavy object 5 or 7 steps from pallet","A10 B0 G3 A0 B0 P0 A0"
"gets heavy object 5 or 7 steps from WIP","A10 B0 G3 A0 B0 P0 A0"
"gets heavy object 5 or 7 steps from the nest","A10 B0 G3 A0 B0 P0 A0"
"gets bulky object 5 or 7 steps from the box","A10 B0 G3 A0 B0 P0 A0"
"gets bulky object 5 or 7 steps from pallet","A10 B0 G3 A0 B0 P0 A0"
"gets bulky object 5 or 7 steps from WIP","A10 B0 G3 A0 B0 P0 A0"
"gets bulky object 5 or 7 steps from the nest","A10 B0 G3 A0 B0 P0 A0"
"gets obstructed object 5 or 7 steps from the box","A10 B0 G3 A0 B0 P0 A0"
"gets obstructed object 5 or 7 steps from pallet","A10 B0 G3 A0 B0 P0 A0"
"gets obstructed object 5 or 7 steps from WIP","A10 B0 G3 A0 B0 P0 A0"
"gets obstructed object 5 or 7 steps from the nest","A10 B0 G3 A0 B0 P0 A0"
"gets blind object 5 or 7 steps from the box","A10 B0 G3 A0 B0 P0 A0"
"gets blind object 5 or 7 steps from pallet","A10 B0 G3 A0 B0 P0 A0"
"gets blind object 5 or 7 steps from WIP","A10 B0 G3 A0 B0 P0 A0"
"gets blind object 5 or 7 steps from the nest","A10 B0 G3 A0 B0 P0 A0"
"gets light components 5 or 7 steps from the box 50% of the time","A10 B3 G1 A0 B0 P0 A0"
"gets light components 5 or 7 steps from palet 50% of the time","A10 B3 G1 A0 B0 P0 A0"
"gets light components 5 or 7 steps from WIP 50% of the time","A10 B3 G1 A0 B0 P0 A0"
"gets light object 5 or 7 steps from palet 50% of the time","A10 B3 G1 A0 B0 P0 A0"
"gets light object 5 or 7 steps from the box 50% of the time","A10 B3 G1 A0 B0 P0 A0"
"gets light object 5 or 7 steps from WIP 50% of the time","A10 B3 G1 A0 B0 P0 A0"
"gets light component 5 or 7 steps from the nest 50% of the time","A10 B3 G1 A0 B0 P0 A0"
"gets light object 5 or 7 steps from the nest 50% of the time","A10 B3 G1 A0 B0 P0 A0"
"gets heavy components 5 or 7 steps from the box 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets heavy components 5 or 7 steps from pallet 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets heavy components 5 or 7 steps from WIP 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets heavy components 5 or 7 steps from the nest 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets bulky components 5 or 7 steps from the box 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets bulky components 5 or 7 steps from pallet 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets bulky components 5 or 7 steps from WIP 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets bulky components 5 or 7 steps from the nest 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets obstructed components 5 or 7 steps from the box 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets obstructed components 5 or 7 steps from pallet 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets obstructed components 5 or 7 steps from WIP 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets obstructed components 5 or 7 steps from the nest 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets blind components 5 or 7 steps from the box 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets blind components 5 or 7 steps from pallet 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets blind components 5 or 7 steps from WIP 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets blind components 5 or 7 steps from the nest 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets heavy object 5 or 7 steps from the box 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets heavy object 5 or 7 steps from pallet 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets heavy object 5 or 7 steps from WIP 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets heavy object 5 or 7 steps from the nest 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets bulky object 5 or 7 steps from the box 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets bulky object 5 or 7 steps from pallet 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets bulky object 5 or 7 steps from WIP 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets bulky object 5 or 7 steps from the nest 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets obstructed object 5 or 7 steps from the box 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets obstructed object 5 or 7 steps from pallet 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets obstructed object 5 or 7 steps from WIP 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets obstructed object 5 or 7 steps from the nest 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets blind object 5 or 7 steps from the box 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets blind object 5 or 7 steps from pallet 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets blind object 5 or 7 steps from WIP 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets blind object 5 or 7 steps from the nest 50% of the time","A10 B3 G3 A0 B0 P0 A0"
"gets light components 5 or 7 steps from the box 100% of the times","A10 B6 G1 A0 B0 P0 A0"
"gets light components 5 or 7 steps from palet 100% of the times","A10 B6 G1 A0 B0 P0 A0"
"gets light components 5 or 7 steps from WIP 100% of the times","A10 B6 G1 A0 B0 P0 A0"
"gets light object 5 or 7 steps from palet 100% of the times","A10 B6 G1 A0 B0 P0 A0"
"gets light object 5 or 7 steps from the box 100% of the times","A10 B6 G1 A0 B0 P0 A0"
"gets light object 5 or 7 steps from WIP 100% of the times","A10 B6 G1 A0 B0 P0 A0"
"gets light component 5 or 7 steps from the nest 100% of the times","A10 B6 G1 A0 B0 P0 A0"
"gets light object 5 or 7 steps from the nest 100% of the times","A10 B6 G1 A0 B0 P0 A0"
"gets heavy components 5 or 7 steps from the box 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets heavy components 5 or 7 steps from pallet 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets heavy components 5 or 7 steps from WIP 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets heavy components 5 or 7 steps from the nest 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets bulky components 5 or 7 steps from the box 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets bulky components 5 or 7 steps from pallet 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets bulky components 5 or 7 steps from WIP 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets bulky components 5 or 7 steps from the nest 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets obstructed components 5 or 7 steps from the box 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets obstructed components 5 or 7 steps from pallet 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets obstructed components 5 or 7 steps from WIP 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets obstructed components 5 or 7 steps from the nest 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets blind components 5 or 7 steps from the box 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets blind components 5 or 7 steps from pallet 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets blind components 5 or 7 steps from WIP 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets blind components 5 or 7 steps from the nest 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets heavy object 5 or 7 steps from the box 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets heavy object 5 or 7 steps from pallet 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets heavy object 5 or 7 steps from WIP 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets heavy object 5 or 7 steps from the nest 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets bulky object 5 or 7 steps from the box 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets bulky object 5 or 7 steps from pallet 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets bulky object 5 or 7 steps from WIP 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets bulky object 5 or 7 steps from the nest 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets obstructed object 5 or 7 steps from the box 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets obstructed object 5 or 7 steps from pallet 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets obstructed object 5 or 7 steps from WIP 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets obstructed object 5 or 7 steps from the nest 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets blind object 5 or 7 steps from the box 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets blind object 5 or 7 steps from pallet 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets blind object 5 or 7 steps from WIP 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets blind object 5 or 7 steps from the nest 100% of the times","A10 B6 G3 A0 B0 P0 A0"
"gets light components 5 or 7 steps from the box 100% of the times","A10 B10 G1 A0 B0 P0 A0"
"gets light components 5 or 7 steps from palet 100% of the times with adjustment","A10 B10 G1 A0 B0 P0 A0"
"gets light components 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G1 A0 B0 P0 A0"
"gets light object 5 or 7 steps from palet 100% of the times with adjustment","A10 B10 G1 A0 B0 P0 A0"
"gets light object 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G1 A0 B0 P0 A0"
"gets light object 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G1 A0 B0 P0 A0"
"gets light component 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G1 A0 B0 P0 A0"
"gets light object 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G1 A0 B0 P0 A0"
"gets heavy components 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets heavy components 5 or 7 steps from pallet 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets heavy components 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets heavy components 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets bulky components 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets bulky components 5 or 7 steps from pallet 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets bulky components 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets bulky components 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
